Gene1,Gene2,score
G67,G92,0.5762273039459966
G67,G167,0.571962811964903
G67,G86,0.531189973286265
G67,G126,0.5271641925834496
G67,G223,0.5209831596502468
G67,G390,0.5056492235267372
G253,G315,0.4838433507147804
G67,G87,0.4801946112534824
G253,G336,0.4686575824994009
G253,G335,0.4624520495001038
G84,G199,0.4593923854795222
G67,G340,0.4582427452766019
G102,G221,0.45350978177110324
G331,G212,0.4509614718220539
G277,G331,0.449600947222066
G67,G131,0.44113372126528033
G144,G169,0.42852196346830085
G84,G238,0.42795327203748706
G84,G344,0.42786120826422763
G102,G157,0.42599922545586777
G246,G67,0.42535416157029726
G331,G277,0.4241217153352381
G238,G84,0.4232681369794194
G150,G138,0.41763655335846916
G253,G144,0.41050182879357144
G253,G198,0.4083392559814179
G67,G234,0.40745953365572224
G67,G312,0.39505225307951
G302,G316,0.39365951023216467
G144,G253,0.3911409113012809
G331,G372,0.3901582536107678
G253,G278,0.3898508793499081
G84,G364,0.3895843261520267
G67,G246,0.3862880873868236
G253,G373,0.38173972556823105
G144,G242,0.37483578270013296
G144,G376,0.3742345492079333
G253,G330,0.37377959694985274
G80,G102,0.3705829210844605
G102,G256,0.3679340204002883
G47,G321,0.3653942324062279
G102,G80,0.3623031901255417
G84,G283,0.36089849319936496
G253,G39,0.3579481464642672
G84,G218,0.3552653846147011
G84,G287,0.3527696216334795
G47,G388,0.35222463977281704
G80,G190,0.34976742149586015
G67,G75,0.3469187656661103
G67,G363,0.3463773302258567
G67,G259,0.334948634145357
G69,G288,0.33346711750027064
G253,G109,0.33133298021319385
G144,G267,0.32796721342904134
G144,G179,0.32588387381427375
G84,G229,0.31968070539695836
G67,G185,0.3186813367137003
G253,G168,0.31832382505750656
G331,G228,0.3161684951552118
G253,G352,0.3146528079012045
G80,G88,0.31334460699734723
G144,G300,0.3117646096058095
G84,G338,0.31114795893822433
G84,G145,0.3107868166434426
G69,G153,0.31066114914753085
G331,G196,0.3102327937664066
G253,G324,0.30762046077566096
G47,G204,0.3067935259141617
G84,G244,0.30521439337602974
G253,G165,0.30420460886028333
G102,G135,0.3032700879565589
G253,G150,0.29984835850973274
