Gene1,Gene2,score
G67,G86,0.5861351656868521
G67,G92,0.5698698042711402
G67,G126,0.5640556285871898
G67,G390,0.5480670688967306
G67,G167,0.5372367586251494
G67,G223,0.5353188156637662
G67,G340,0.47149038767144463
G67,G131,0.46126816078303107
G253,G335,0.45753853733025895
G253,G315,0.4564242607109506
G67,G87,0.4509042621889365
G67,G246,0.45050948357942455
G253,G336,0.44427124207450347
G84,G199,0.4412708522715168
G238,G84,0.44075801689833466
G253,G278,0.43732585093718734
G246,G67,0.42812925154810694
G84,G344,0.4250710299289494
G253,G198,0.42087704194516845
G84,G364,0.4174996792320764
G84,G238,0.413264273678011
G373,G253,0.4047744075127425
G277,G331,0.4018631721542175
G331,G277,0.39840406200910033
G67,G312,0.39674404535604696
G253,G330,0.39665226260711817
G47,G321,0.3935456621019302
G102,G256,0.39021018194606744
G253,G373,0.3900413881961922
G331,G212,0.3892694467236389
G67,G234,0.38800499524377724
G253,G144,0.3840414067178464
G331,G372,0.3839995318251491
G302,G316,0.37967590934173
G150,G138,0.37375318842550653
G67,G259,0.37342741725606354
G253,G352,0.36982326549980277
G102,G221,0.36761359963663803
G47,G388,0.3564231543220918
G253,G169,0.3493010420790253
G144,G376,0.34635983369235634
G102,G157,0.34434538915444646
G144,G179,0.34311095808190234
G144,G242,0.3425911618794035
G84,G283,0.34223165497681546
G253,G341,0.33864885683927687
G144,G267,0.3361634336841877
G253,G300,0.33031952958218197
G69,G288,0.3286858798509668
G84,G218,0.32765131913025836
G253,G39,0.3267195579237548
G67,G99,0.32497894575218583
G67,G225,0.3249683247886207
G84,G104,0.32335247429714364
G67,G75,0.3209427802767134
G67,G363,0.31913711309129356
G80,G102,0.3189425446122777
G84,G287,0.31827443544165646
G84,G338,0.3175151344381608
G69,G141,0.3167583674661064
G69,G153,0.3152877108272793
G253,G168,0.3152790126074829
G253,G196,0.31400421187317057
G144,G228,0.31336452784094615
G47,G342,0.3127584561445766
G47,G142,0.30563738122604034
G253,G150,0.3041474012266898
G47,G204,0.2995023223054818
G253,G53,0.2955071328111024
G84,G120,0.2928856186968704
G47,G296,0.2928206614074781
G253,G165,0.292120014784463
G253,G324,0.2920830628295406
G150,G57,0.291008390903616
G41,G382,0.2898016268545965
G84,G241,0.28979779413716233
G102,G135,0.28748227069356924
G67,G185,0.28738673020883265
G47,G397,0.28733765531352823
G382,G41,0.2858204897214575
G144,G349,0.28535510278878684
G67,G205,0.28343871546396443
G84,G295,0.28276891074527666
